,Unnamed: 0,sentiment,review,emopattern,emoscore,pnp,npn,pnpn,npnp,ppp,nnn,Total_pnp_patterns
116524,116524,-1,"Okay. This is not a horrible movie. But it is nothing like the first one. If you are looking for this movie to be as good or better than the first, it's not going to happen.There is about as much action in this one as the first, maybe even more. But there really is no story line going on. They had good intentions, but it doesn't really go anywhere. It's supposed to be a continuation from the first and in certain parts you get maybe a little hint here and there, but mostly you find you have to remind yourself what is going on. They actually repeated a lot of scenes from the first one but did so in a different light, angle, degree, concept.This move is just okay. I recommend renting or borrowing, but not buying this. No where near as good as the first.",suunnnnupnn,-0.8547191619873047,0,0,0,0,0,1,0
1487168,1487168,-1,I THOUGHT IT WAS A REALLY CUTE TOY BUT A LITTLE OVER RATED. The bear only dose a few things and thats it. My daughter played with it for a few hours then she wasn't interested in it anymore. I didn't think it was worth the money we paid for it. And now it's less then half the price.,suunnn,-0.48905420303344727,0,0,0,0,0,1,0
2953548,2953548,-1,"I am still trying to figure out what good is this thing to have. To be honest I still don't see the benefits. I do not see anything that I couldn't get on my own computer. I got it to have access to Netflix. I still have to pay for Netflix, so I am not renewing this thing. I will just get different device like a blue ray $60 to have access to Netflix.",snnnunu,0.0,0,0,0,0,0,1,0
3560890,3560890,-1,"The first season and the prequel were great. Vengeance was weak. The character of Spartacus was poorly cast, and it didn't help having the storyline they wrote for him. The guy's all of a sudden changed to a politician, giving speeches every episode to a disorganized horde to stop them from destroying each other, followed by, ""Yeeeaaaahhhh!!!"" Lots of times the story gets goofy and unbelievable. The new Naevia isn't good either.The thing that made Spartacus work before was Batiatus. Without him, and combined with the loss of Andy Whitfield, it's just over. I understand that if the story were to continue any further, the story of the ludus and the arena needed to end. But the current cast of characters, without a great lead actor or two, and the lack of good writing to make up for it has ruined the show. And with the people who were killed off at the end of Vengeance, it makes the next and final season seem like there's absolutely no hope for an ending worth watching.",spnnunnnunn,-0.9137886166572571,0,0,0,0,0,1,0
826360,826360,-1,"This is, quite simply, an item that Amazon cannot deliver without damage. The product may be great, but it is not packed to ship and Amazon tried twice, but a cardboard box and a sheet of paper cannot protect a large glass item. Amazon refunded the money, but the time and effort (not to mention this was supposed to be a gift) could not be refunded. I am a big fan of Amazon, but I am shocked that they sell an item that they cannot make the effort required to pack and ship successfully.",snnnn,-0.7912741303443909,0,0,0,0,0,1,0
2227147,2227147,-1,"After listening to ten minutes of the audio version of the book, I was bored to tears. I don't desire to read books that are so incredibly wordy from an author that feels the need to use big words. Then going into a list of diseases that would frighten even the most hearty woodsman out of the woods. If you think it can't get any better you have to love the line that leads you to believe that everyone is killing everyone out there in the good ole' USA. This dude really needs to go back to England since he seems so much in love with it.",snnnnu,0.0,0,0,0,0,0,1,0
3267045,3267045,-1,"I received this as a gift. I love yoga and thought this was the most boring and sleepy yoga tape I ever saw. The plain white room and monotone voice made me catatonic every time. You are mostly forced to use props (which also annoyed me) and as for the poses, it is not the easiest tape for the beginner. I might recommend this more to an intermediate. Honestly, for me, I thought the Yoga Zone collections were much more interesting.",sunnnpp,0.8206982612609863,0,0,0,0,0,1,0
2509235,2509235,-1,trash gsarbage. why does read this? not worth the time. just like goingto a sd rrsyutany. parfdon yyymy frech. where dd such sa sayng come fro?,snnnuuu,0.0,0,0,0,0,0,1,0
477502,477502,-1,"Unless you are a fan of Load to begin with, I don't think anyone in their right mind would think leftover tracks from that recording would be a good idea for an entire new album. Isn't the ""Memory Remains"" one of the stupidest things you have ever heard...c'mon...admit it. I can understand people maybe liking Load for what it is, something different, but how hackneyed is calling leftover tracks, ""RELOAD"". I guess after Load Bob Rock wasn't able to pinch anything else from them so he said, ""All right guys lets just re-tool the crap from the last one."" I'm sure they didn't put up a fight, they're rich now.",snnnun,-0.5554987788200378,0,0,0,0,0,1,0
1733071,1733071,-1,"People listen to me.... PLEASE !!!! This is one of the worst books I have ever read. Cornwell has written a book that lack everything that the english language demands. Do not, I repeat DO NOT buy this book. You will do better sending the money that you would spend on this book to your favorite charity.",suppnnnn,-0.5535207390785217,0,0,0,0,0,1,0
1272020,1272020,-1,"Don't bother reading this book. Just end Chung Kuo with book 6 and be done with it. This book was done so poorly that I can't believe that Wingrove actually wrote it. It is weak, wishy washy and slow, as opposed to his gutsy, intelligent efforts in the first six Chung Kuo books. Don't bother with it.",snunnn,-0.5953325033187866,0,0,0,0,0,1,0
306967,306967,-1,"I LOVE this film... since it's initial release, it has been one of my ""guilty pleasure"" VHS tapes. Now that the DVD has finally arrived after several years of waiting, I feel as though I've been taken. In the first place, this film is OBVIOUSLY CROPPED from the 4x3 format to make it look as though it's widescreen. This is NOT the theatrical ""widescreen"" release. Check out the opening scenes where the Indian's futility is told via a series of newspaper headlines of the times. Most of the headlines have the upper halves of the letters CHOPPED OFF! This is SHAMEFUL! The DVD's producers have actually given us LESS than the VHS tape. Second, there are NO, NONE, ZERO extras on this DVD. What exactly were we waiting all this time for?Anybody out there who waited as I did for all this time for this DVD is in for a big letdown.",spunnunnnnn,-0.8128754496574402,0,0,0,0,0,1,0
274496,274496,-1,"Tried it after being VERY displeased with the T68I's RF performance...Figured I would give SE a second chance.. Same Issues with reception!!! TERRIBLE compared to Nokia and Samsung..Avoid this Phone if reception and dropping calls is important to you!!!Sony Ericsson is the worse for reception I have ever used, its a shame because I liked the phones menus and features.....",snnnn,-0.9401280879974365,0,0,0,0,0,1,0
2789245,2789245,-1,"If you are over the age of 15 (male or female) do not waste your time with this game. It is even more cheesy and immature than FFX. I gave it 2 stars because the graphics are incredible; however, this game is a disgrace to the FF series.",snnn,-0.5445579290390015,0,0,0,0,0,1,0
129650,129650,-1,"These kiddies are awful. The first time I ever heard them was on the radio with Wanna or whatever it was called, and I could not believe that anyone could come up with lyrics and music so .... perfect and total in its ability to suck really really heavily. Well let me tell you something right now, girls and boys, this album sucks even more. It sucks so much, actually, I have heard that in one record shop which kept quite a lot of stock of this album, the windows caved in with the colossal suction. 'Nuff said. PS. I would appreciate any comments. Cheers! Ben xxx",snnnnuuppp,0.6277542114257812,0,0,0,0,1,1,0
1573008,1573008,-1,"Beware purchasing Microsoft Streets and Trips programs. I received this software free along with my purchase in 2000 of a Dell portable computer. I grew to love MS Streets and Trips and used it for every trip I would take, to map the area I was going to. Then I upgraded to Windows XP and POOF! Streets and Trips software worked no more. When I called both Dell and Microsoft to find out why, I was told I needed to pay $30 for a one-time technical assistance session to fix the problem! What a complete and utter rip off! Next time I'll find some other software made by a company who isn't as error-prone and/or greedy.",suuppnnnn,-0.4762747287750244,0,0,0,0,0,1,0
3216273,3216273,1,"Yes, like most other reviewers I was impressed with this book but I am left with a nagging question that I am surprised is not being as frequently asked as it should: How does this man remain a Bishop?? I think he should be honest and come out with the word he seems scared to utter:faith!! From what I remember of his reasons for remaining a believer in Christ include that he wanted to continue his path using the general road that he was born and raised on. I found this a bit shallow for a scholar who spent a good amount of time and energy deconstructing the New Testament. In other words he seems to have taken what he ""needs"" out of the New Testament and leave the rest in ruins of doubt.. The problem I have is that his reasons for believing did not speak to me as rationally as his deconstructive process. Yes I am sure there are better ways to be a Christian as he points to, but he really never gets around to a convincing reason for remaining a Christian..at least in my opinion.",sununnnn,-0.6975641250610352,0,0,0,0,0,1,0
2123107,2123107,-1,"I'm not sure why but it seems that the squirrels around my neighborhood (in San Antonio, TX) don't really like this. I've hung it in a couple of different, but easily accessible spots but the squirrels only occasionally sample it. It's been hanging for about six weeks now and it's not even one-third eaten. If I hang out a real corn cob for the squirrels, it will be gone in one day. I was also not very impressed with the metal hanger that comes with this. I recommend a better washer on the bottom and using something to secure the (too-small) wing nut.",snunnnu,0.0,0,0,0,0,0,1,0
1551104,1551104,-1,"Ok, set aside the fact that Heather Graham can't act, and this movie is still 2 hours of your life you'll never get back. I can understand someone's intention of wanting to try and save a marriage and honor wedding vows, however, this movie is quite proposterous in displaying such. Graham's character is clearly unstable and not represented well. And the subplots do nothing to support the film. I even cringe at the fact that Summer Phoenix (sister to my favorite actor, late River Phoenix, and Joaquin Phoenix of Gladiator) is a part of this mess. But, bygones eh! I'm glad I caught this movie on cable, rather than wasting my time or money to purchase it. The only thing one can gather from this film is...if you can't be with the one you love, love the one you're with...",snnnnnupp,0.6343808770179749,0,0,0,0,0,1,0
2003762,2003762,-1,"At first, we were very pleased with this product. It's digital thermostat seemed accurate, it was easy to adjust between the 3 voltages available, and it was completely quiet. Then, about one year after purchase, and light use, the digital controls failed, and now it doesn't switch off - just keeps heating up and up, endlessly. This is the second Honeywell thermostat-related product to fail this month, and speaks very poorly about quality control in this famous firm. Furthermore, the warranty is laughable: you have to ship back the entire, 27 lb. product to their Memphis site AT YOUR OWN EXPERIENCE, plus give them $10 for repair or replacement. Needless to say, it's not worth it.",sppnnnun,-0.8465718626976013,0,0,0,0,0,1,0
3009155,3009155,-1,"I have never given up on reading a book in all of my 48 years(although I did have to take a 15 year break before I could finish Joseph Heller's ""God Knows"") but I came close to giving up on this one. Updike can truly spin a masterful phrase and some of the writing is outstanding. For example, his description of the leaves changing color in the fall is comparable to John Steinbeck's description of grease coagulating on plates in ""Cannery Row"". But the inconsistencies were too much. Whenever he delved into the ""supposed"" future, the narrative did just not work. The imagination is missing from these sections. The novel would have been at least a ""4 star"" if Updike had stayed with the narrative of Ben and his view of the end of a man's life. And drop the image of a prostitute's thong tan line as a deer's white tail!",sppunnnun,-0.7228615880012512,0,0,0,0,0,1,0
754968,754968,-1,Wow. This movie is so insanely stupid that I dont know where to start. Lets take an incredibly great movie classic and destroy it with idiotic sequels. 1.Sharks cannot roar. 2.Sharks cannot stand on their tails. 3. When sharks are impaled with large sticks they do not automatically explode. 4.Mama Brody cannot reminice about things she didnt witness. 5.Sharks cannot follow people vast distances. 6.Sharks do not enjoy swimming in warm bahaman waters. 7.Michael Caine shouldnt be in this movie. 8.Sharks do not have feelings. I could really go on forever there. Do not buy or even rent this piece of cinematic garbage,spnnnuuununnupn,-0.9113790392875671,0,0,0,0,0,1,0
267859,267859,-1,"Although at first glance this movie seems like a cute story, the general idea behind it disturbed me. Why did this woman dress chimps up like people and try to get them behave like human children? Animals aren't people, and they certainly don't want to be treated like they are--it's not healthy for them or for their owners, as was illustrated by the problems Gertrude Lintz had in keeping Buddy. The film doesn't seem to get it's own message.",snnnn,-0.7862327098846436,0,0,0,0,0,1,0
1192038,1192038,-1,"I'm sorry. This book just didn't do it for me? Where's the story? I found the characters very whiney. Why did Paul hate his father so? Even after David died, Paul whined & whined about what a horrible father he had. Get over it. He wasn't really that bad. David's childhood, Rosemary & Jack, Bree's reaction to Norah finding Pheobe, why did Norah leave for France so soon after finding Pheobe? There were too many loose ends. It was too long and nothing ever got resolved.",snnunnnuuunn,-0.914222240447998,0,0,0,0,0,1,0
2097882,2097882,-1,"This book is a blatant rip-off of the TV series ""Lost,"" but lacks the creativity, character interest or complexity of the TV series. It is poorly written, repetitive (e.g., every character has the same exclamation of disgust, surprise, anguish, etc., i.e., ""good grief"")and the thin plot could be contained in far fewer than the 300 pages. Do not read this book if you are interested in a truly good mystery or intriguing and/or sympathetic characters.",snnn,-0.8048298358917236,0,0,0,0,0,1,0
382989,382989,-1,"1/2 Star....at best.How many times can you possibly use the F-word in a movie? Judging by this piece of trash, not enough.....Come on, guys! This isn't creative and it isn't funny. It's filth.",snnnn,-0.9096373915672302,0,0,0,0,0,1,0
803044,803044,-1,"Poor job indeed. It's not just that one wouldn't find anything new in this biography (it's hard to expect anything really new about Callas after all that has been written) but it's not even the story told from a new angle... This book is like a patchwork of things cut and pasted from different sources and lacks consistency in style etc as if Ms Edwards couldn't decide whether she wanted to write just a ""documentary"" or something more ""personal"". Anyway, it is a waste of time to read this, if you want a Callas biography get Galatopoulos and Jellinek ones.",snnnn,-0.8692551851272583,0,0,0,0,0,1,0
2827628,2827628,-1,"Having lived in Texas when Kinky ran for Governor, I was expecting biting, raucous humor. But, sad to say, I was disappointed... Seemed like more of an effort to make a little money off his ""fame"" than a serious attempt at humor.. I read through the whole thing - but it was a struggle to keep from just tossing it in the throw away pile.. What a waste of time..",sunnn,-0.9237847924232483,0,0,0,0,0,1,0
440015,440015,-1,"Some of Martin Lawrences stuff is extreme, but I was expecting some laughs out of this film. There was a 'tee-hee' here and there, but this movie was obviously trying to be a serious moral drama, as opposed to anything remotely funny. I kept waiting for the laughs, and they never came. This movie was the worst comedy I've seen. Watch something else and save yourself the pain.",sunnnu,0.0,0,0,0,0,0,1,0
3181568,3181568,-1,"This book was a complete let-down after the first of the series. Everything about it seemed completely over-the-top, starting with the one character repeated booming out `THE DARK... THE DARK IS RISING!' It went downhill from there. Every possible fantasy cliché was realized (including `mystical' sounding rhymes and poems), the characters were a bit insipid and uninspiring, and the plot seemed thin. I found myself not caring in the slightest how it ended, and once it did, felt no compulsion to read any further in the series.There are far better children's fantasy series out there, including A Wrinkle in Time and its sequels, The Spiderwick Chronicles, A Series of Unfortunate Events, and, yes, the Harry Potter series.",snnunnn,-0.5985392928123474,0,0,0,0,0,1,0
1861201,1861201,-1,"I don't recommend purchasing this CD because the packaging was poorly put together and really you get the same music that you get on the original 1CD release. All the additional music sounds poorly recorded and there's a reason that it was unreleased. Overall, very disappointing.",snnn,-0.9015713334083557,0,0,0,0,0,1,0
380800,380800,-1,I was looking forward to this cd for months but it is a huge dissapointment. it is compleatly different from all their other stuff. it has a boring title. it is way more hard rock wich is bad. i was afraid that it would happen. i hope they go back to their old style on the next cd but i doubt it will.,snunnnn,-0.49055078625679016,0,0,0,0,0,1,0
1367736,1367736,-1,"First, the good stuff: Christina Aguilera's debut has two first-rate singles: ""Genie in a Bottle"" and ""What a Girl Wants."" Both songs have personality, spunk, and they nicely compliment Aguilera's powerful voice. But it's Snoozeville from here. ""I Turn to You"" is just a dreary ballad (it's written by Diane Warren--big shocker), and not much else on the album catches fire. It's a particularly frustrating listen, considering how vocally talented Aguliera really is. I just hope she won't go the way of 1990's Mariah and settle for goopy ballads and soulless dance tunes that do her no justice.",sppunnn,-0.8611682653427124,0,0,0,0,0,1,0
358256,358256,-1,"My family has had 3 of these go bad over the past year. Each time we were unable to recover from iTunes ""Back to Factory"" settings. No other way to troubleshoot this particular iPod exists. Yes, it does tell you the error by counting the blinking LED lights, but each time we have not been able to recover it. It is so cheap, that it almost makes it disposable, but 3 bad ones were enough to not recommend it.Perhaps it would be recoverable at the Apple store, but don't feel like waiting for an 2 hours (1 hour drive and 1 hour wait at the store) to get it fixed.Pros : clippable and light. Once you get used to the buttons its easy to navigateCons: Goes ""kaput"" too easy. If you have a few hundred songs on there, it is difficult to find the one you want to hear, sometimes.I've recently tried the Sandisk Sansa Clip, and much prefer it, at 1/2 the $$. Not sure about Sandisk reliability at this point.",snnnnnuun,-0.6453189849853516,0,0,0,0,0,1,0
2587583,2587583,-1,"I'm sure this will sell well, but I will not spend a dime on this because it does not include the original trilogy. I tried to watch Episode IV Special Edition last night. Every time it gets to the ""Look sir, droids"" scene with the cartoon stormtrooper on dewback in the background, I end up turning it off. I just can't watch it. Something just doesn't sit well with all the extraneous additions. I don't mind a little cleaning up and tinkering. For example, I kind of like what they did with cloud city in Episode V. There were just way too many changes for my taste though. It's just my opinion and I'm glad some people will get enjoyment out of this set...just not me.Update: I just knocked my rating down from 3 stars...nnnooooo to this set and the complete saga!",snunnnpup,0.38790783286094666,0,0,0,0,0,1,0
251305,251305,-1,"This, like Tuesday with Morrie, is a lame book. The author is not a good writer, so he instead appeals to the most basic, non-intellectual emotions of his less than cerebral diehard fans by employing hackneyed, formulaic story lines. Really, his books are horrible. I read both of his bestsellers because they got such good reviews, but both times, I was severly disappointed. Reading an Albom book is like watching an After School Special or reading a Chicken Soup for the Soul book--he attempts to affect your emotions by using the most direct (non-creative), simple (non-intellectual) story lines, rather than being a truly creative author by making you react emotionally without having to shove the simpleton feel-good drivel down your throat. The onely good thing I can say about Albom's books--they're very short.",snnnnnp,0.9226349592208862,0,0,0,0,0,1,0
3111537,3111537,-1,I bought one of these for each of my children. They were so excited to get them. None worked. They also weren't too sturdy. They were disappointed in the first few minutes. Don't buy.,supnnnu,0.0,0,0,0,0,0,1,0
2883375,2883375,-1,"My daughter recieved this item for christmas as a gift...i wish i kept the box so i could return it! My daughter has totaly lost interest in it. It contains so many small stickers that is a major pain to put on, and none of the pieces stay together.Not very well made! And not worth 40 something dollars. I cant wait to toss the thing in the garbage!",spnnnn,-0.8188340067863464,0,0,0,0,0,1,0
1727150,1727150,-1,"This camera definitely has some major problems with its film loading system. Like the other reviewers, I couldn't load the film in even after too many tries. A very disappointing product.",snnn,-0.9251205325126648,0,0,0,0,0,1,0
3031999,3031999,-1,I was very disappointed with this item. I was expecting some overly rugged work flannel but what I received was a very low quality product. I doubt the shirt is made from 9 ounce cotton as advertised. It doesn't feel the least bit rugged nor is the durability to be taken seriously....more like flannels you see in walmart for a lot less.Made in china.,snnnn,-0.8070757389068604,0,0,0,0,0,1,0
1764901,1764901,-1,These sunglasses are totally CRAP! What pitiful human lives have been wasted to create such meniachal things!! Anyone who buys this is a supporter of satan and his army!! Heathens buy these! I hate heathens and I hate GLASSES,snnnnn,-0.9405376315116882,0,0,0,0,0,1,0
932563,932563,1,"Oh my goodness. It must be a crime to love an inanimate object so much. I have been suffering with a poor decision made years ago to purchase an under the cabinet Black & Decker can opener that loved to disperse the contents of the can on the counter. It finally started cutting so poorly that my depression era mentality allowed me to replace it. The West Bend arrived yesterday, right before I was ready to open three cans. It got the acid test with a 28-ounce can of enchilada sauce (okay, some of us have to have help). It didn't spill a drop. It's tall (allow 10 and a half inches) but doesn't take up that much length and width space (5 x 5 inches) on the counter. They also had me with the 70 watt motor and detachable head going in the dishwasher. Nosing around, Amazon had this in their Warehouse Deals section, where the box was supposed to be damaged (but it wasn't), and so the price was only $17.99 (new item with warranty) including super saver shipping (at $25 for total purchases).",spnnnuuuuuu,0.0,0,0,0,0,0,1,0
2411257,2411257,-1,"I noticed on reviewer here say that MuscleMedia is the magazine that has changed lives and the other magazines are steroid mags. MuscleMedia was the original steroid magazine. Although they did not publish photos of those steroid freaks, they did publish articles about how to buy and use steroids. Are memories so short and the propaganda so great that some should skip reality? This book could have been better. Bill Phillips is a smart guy, maybe his next book will be better.",suunnnp,0.8728542923927307,0,0,0,0,0,1,0
1450434,1450434,-1,"the steamer doesnt shut off automatically, so the base will get dry and the plastic covered heating element will melt. The bowl for steaming rice etc is so small it is a joke. Honestly i dont know why this product is on the market but i does tell to avoid Deni products.",snnn,-0.869081437587738,0,0,0,0,0,1,0
1675164,1675164,-1,"When the battery gets low, the alarm quits working and you have to know to change the battery. Perhaps a 200 pound person could stand on the clock without damaging it but, on my clock, the little circular handle for setting the alarm fell off. Now, in effect, the alarm doesn't work.",snnn,-0.7493357062339783,0,0,0,0,0,1,0
2948965,2948965,-1,"Japan has committed some of the world's worst atrocities in history (nanking massacre, unit 731, batton death march, comfort women, pearl harbor, ect..) and they still refuse to apologize, compensate, or make an accurate history in there textbooks. Why is Japan so cowardly and instead try to make their amends to their victims of the horrible crimes against humanity. No wonder people call Japan a ""devil"" race.",snnn,-0.8823608160018921,0,0,0,0,0,1,0
864396,864396,-1,"Action movies without soundtracks just don't work, IMHO. Just couldn't get into it. I think most everyone would pass on this one. I wish I had.",snnnu,0.0,0,0,0,0,0,1,0
1559918,1559918,-1,"I read the first ""section"" of the book and it was just okay. Maybe because I've been to Italy and knew the places she spoke of, etc. The second section bored me and I didn't even bother to finish the book. It constantly felt like Gilbert was bragging, blah blah blah I left my husband but it's okay b/c I have wealthy publishers to finance a trip around the world for me, and so on. I can't connect with that. Don't waste your time or money.",spunnnn,-0.6405968070030212,0,0,0,0,0,1,0
2551716,2551716,-1,"I saw Mission to Mars in the theater and this is simply the worst movie score I have heard in a long time.The purpose of music in movies is obviously to complement the on-screen content. This score, however, does nothing of the sort. It is trite, distracting, rambling, disjointed, and ugly. The use of several poorly-generated synthesized sounds in the orchestration highlight Mr. Morricone's lack of compositional ability.This score performs poorly in the theater because it has no musical value. It would perform even worse in a CD player.Do not buy this CD.",snnnnn,-0.9339424967765808,0,0,0,0,0,1,0
278281,278281,-1,This was the worst documentary I have ever seen. The only word I can think of is propaganda propaganda propaganda. They offered no real facts or hard evidence to support any of their harsh claims against Bill Clinton. I do not recommend this dvd.,snnnn,-0.9103573560714722,0,0,0,0,0,1,0
2327198,2327198,-1,"The Resort is one of the worst books I've ever read. It was just one gross-out scenario after another, with little to no character development and no redeeming qualities. (OK, I take back that last part. It had one redeeming quality in that it came with a 'satisfaction guaranteed' offer. I'm sending it in and getting my money back.)To be honest, I didn't even finish the book. Around 40 pages from the end I decided I was wasting my time, since it wasn't entertaining anymore. Before putting it down for good, I did skip to the last page to see how it ended, but all I got from that was the satisfaction of rolling my eyes at the author.If The Resort is a 'good' example of Bentley Little's writing, I will be avoiding his books in the future.",snnupunnn,-0.8102388978004456,0,0,0,0,0,1,0
3284983,3284983,-1,"Hertzberg has had a history of poking fun of people who have set lofty ideals of personal character and societal morality. Those who try to have these accepted as norms, inevitably have their ideals lampooned when it's shown that they're impossible to attain or sustain. Thus we have Limbaugh's drug addiction, Bennett's gambling habit, priestly buggery, etc.Hertzberg and his ilk never fail to use the weight of the fallen idealist to smash the moral underpinnigs of society. This is flawed logic. It will never work, not as long as there are good people and people to aspire to be good. What's the alternative? Hendrick Hertzberg has never thought about what the success of his goals would mean. Would the world be better off?",snnnnnuuu,0.0,0,0,0,0,0,1,0
932020,932020,1,"Irving's book is very detailed. However, his suggested death toll for the Dresden bombing (135,000) is inflated at least three times. Despite lacking heavy industry, Dresden was a regional capital, a communications center, etc., and therefore a legitimate target. As for the destruction of cultural treasures, the Germans merely got a taste of their own medicine. After the Warsaw Uprising, German crews with flamethrowers systematically burned Warsaw's archives and libraries, causing the loss of a half-million irreplaceable pieces of literature. The Germans also deliberately dynamited architectural buildings (among them the Royal Castle of Warsaw). The list goes on and on. So, although not done for this reason, this destruction of the loveliest of German cities was a fitting payback to the Germans.",spnunnnnn,-0.7204368710517883,0,0,0,0,0,1,0
