,Unnamed: 0,sentiment,review,emopattern,emoscore,pnp,npn,pnpn,npnp,ppp,nnn,Total_pnp_patterns
572217,572217,-1,"Everyone is entitled to their personal opinion; that's one of America's greatest attributes, however, we will have to fight in order to keep it. As for the book; I think it sucks. That's about as informative and entertaining as I can be on the review. Definitely ""New Age""; definitely misleading.",sunpn,-0.8269411325454712,0,1,0,0,0,0,1
514643,514643,1,"I was never a huge fan of Josh Gracin on American Idol but I am pleasantly surprised by the quality of this CD. I can certainly say that Josh found his niche in music. This is an outstanding CD. Song after song, he comes through with a great voice! There is only 1 song on the CD I don't care much for. This CD had the potential of at least 4 hit songs! I would certainly recommend this CD for country music fans.",sppppnpp,0.9690284729003906,1,0,0,0,1,0,1
1628531,1628531,1,"THIS IS THE BEST COOKBOOK I OWN AND I OWN ABOUT 50. I DONT HAVE A LOT OF TIME TO COOK , SO I LIKE THINGS SIMPLE TO PREPARE. THIS IS A GREAT COOKBOOK FOR EVERYONE.",spnp,0.985082745552063,1,0,0,0,0,0,1
2909268,2909268,1,"i never thought that i would review an album on amazon, but ""consumed"" has forced me to type this review. it is absolutely amazing, it is one of those products of creativity that shines so bright, everyone will know that it exists. you will not be the same after listening.",snpn,-0.7147659063339233,0,1,0,0,0,0,1
2769084,2769084,1,"Yes, it is a two-volume novel - probably 1200 pages plus. But you won't want to skip a word.Sironia, Texas is a favorite of mine. One reason is its pitch-perfect evocation of time, place, and people (Texas, early 1900s). It is a grand page-turning story based on the author's home-town of Waco, Texas - and many local citizens were not happy with the well-guarded secrets that were exposed when the book was published. It was a best seller in the early 1950s and is still a good read today.",suppnp,0.966133177280426,1,0,0,0,0,0,1
1613071,1613071,1,"This drive is beautiful on the outside, but a bit noisy while reading or writing at any speed. The TDK software is unusable, but the Nero Express bundled is very usable and saves the day. The software package that came with my old HP was much better in every aspect.Nevertheless, the drive itself works flawlessly and burns at top speed without errors reading from my 5400 rpm hard disk, even with files scatered all over the disk. It adjust to lower speeds automaticaly while burning to avoid buffer underruns and I've never lost a CDR with this drive.All in all a good purchase, but the TDK software that comes with it needs a serious makeover. It is sluggish, confusing and not user friendly at all.",spnppn,-0.9232997894287109,1,0,0,0,0,0,1
2281422,2281422,-1,All Roxio products I've used on several different operating systems have always had one problem or another. I found their support staff to be worthless and returned my last Roxio Product vowing to never buy anything they made again. I know others rave about Roxio but I think as with all products there is always a certain percentage of dedicated enthusiasts that will support the product regardless of problems. System lock-ups might be expected on slower cpu's with little memory but I've had some powerhouses freeze up with Roxio.,snnpn,-0.616456151008606,0,1,0,0,0,0,1
3236819,3236819,-1,"I owned this switch for a little over a year. It slowly died taking my LAN with it (slowly). It took me a long time to figure it out since my LAN is fairly complex and contains several switches. However, I had 3ea of the Linksys SR20xx 8-port models die on me much faster. Fortunately, those were much easier to find since they just died completely when they went. So, I am not going to purchase any more of the Linksys SR20xx products. I hope that others are more fortunate, but I have had too many of them fail and am now trying D-Link switches. I used to really like Linksys and their hardware used to work forever (or so it seemed).",sununpnnp,0.9430433511734009,0,1,0,0,0,0,1
752457,752457,1,"I want to qualify my ""4 star"" ranking, especially in light of everyone elses 5 star. I loved the book, I couldn't put it down especially during the last 100+ pages. It is the best of the King's Blades series, all of which I have enjoyed. I was sure I knew what the ending would be and missed it by a mile. The only reason I give it a 4 star is that I love Duncan's early stuff, the Reluctant Swordsman, Man of His Word, and those, even more than I enjoy the Blades series. Duncan writes very well, his worlds are believable, his characters are rich and grow and change. If you don't own everything he has written, you should. Buy used copies if you can't find new, but get them.",suppnppuu,0.0,1,0,0,0,0,0,1
968133,968133,1,I used Celestron scopes on a university level for 8 years for serious purposes and fell in love with them. The thing is I haven't been involved much the past 15 years in astronomy for various reasons. I decided to get back into it recently and purchased this scope. Man I had forgotten how amazing their optics really are!! I am impressed with the ease of set up and the light wieght of this scope and most of all with the fact that in less than perfect light conditions I could still pick out the Cassini division in Saturn's rings with a 25mm lens and a 2X barlow. I look forward to using it for astrophotography of deep sky objects very soon.I also had need to call support about software and they were very helpful and quick. Solved my problem very simply within just a few minutes and the time it took to download the application.,spnppppp,0.7134630084037781,1,0,0,0,1,0,1
2336536,2336536,1,"I bought this movie awhile back and it just sat around for a long time. I finally pulled it off the shelf and decided to watch it. It was a good movie and I enjoyed the man in the mosquito monster costume. While its no oscar winner, I wouldnt say it was the worst film i've ever witnessed. A very fun movie and not nearly as bad make it out too be.",suupnp,0.9575779438018799,1,0,0,0,0,0,1
817786,817786,1,"This book, ""Kentucky Bad Boy"" is a fantastic assembly of unique childhood stories that will please most readers from 8 to 80! After finishing this short book, you are left with a sad feeling...there must be more! More of these stories that will make the reader feel ""satisfied"" like the first ones. The author has a communication style that lets the mind wander to truly appreciate all the shenanigans that young boys can get into. Can't wait until the revised edition is published and Mr. Rains includes additional stories that even his wife, Suzie, may try to edit beyond recognition. All I will say is ...DON'T!",spnpppuu,0.0,1,0,0,0,1,0,1
2797329,2797329,-1,"Was hoping for a return to kick arse music, but after listening several times, I find im just bored. All the songs sound the same, and none really stick out. Disturbed's first two albums were by far better than this one. Seems like they were more interested in getting out a message album (about their dislike for bush, war, etc), and less about rocking. Go back to writing about girls, it makes for better songs.",snnpnu,0.0,0,1,0,0,0,0,1
458741,458741,-1,"Whatever excellent features this polarizer has were totally ruined by the fact that the lens cap would not fit onto the lens, once this polarizer is in place. I use Nikon lenses, and all of them have circular polarizers, and admittedly most are Nikon polarizers, and all will allow the lens cap to fit over them. After 28 years using polarizers on all my lenses I had yet to run across one which would not accept the lens cap. Which means that a person has to remove the polarizer to replace the lens cap.... not amusing out in the field, or anywhere for that matter. The attributes of the thing seem excellent - appearance, construction, optical quality, value - all good. But not accepting the lens cap is a deal breaker for me. If you only use a polarizer occasionally, I suppose you wouldn't be bothered by this, but I keep them attached to my lenses nearly 100% of the time.",snpunpnu,0.0,0,1,0,0,0,0,1
2414654,2414654,-1,"What a waste of millions of dollars and some of the world's finest actors. This tediously long film is a mixture of Upstairs-Downstairs and Agatha Christie. Altman just doesn't understand either the upstairs or downstairs people. His ""sexy"" scenes are embarrassingly dumb. Some of the dialogue is unintelligible, especially when it is delivered by people pretending to be from Scotland. And at the end, when three people ""rip off their masks,"" so to speak, and are really other people, the dialogue is so clumsy that if you look the other way for a second you'll miss the plot summation. This is a film that deserves to be listed in the Turkey book, under the title Most Expensive. It fails to be amusing, insightful, or even entertaining. The worst part is the script, and so, predictably, the writer received an Academy Award,",snnnnnnpnn,-0.9361222386360168,0,1,0,0,0,2,1
2859475,2859475,1,"I have to say this album is hot, Ron Isley still can sing! I rate this album as a classic with Eternal and Body Kiss. I can't wait for the next one, I'm a loyal fun and I hope to catch him on tour.I'm 20 yrs old and this album appeals to me and is better than alot of recent R & B releases. All the young guys should listen to this old mack and learn something! Go buy this album!",spppnp,0.8082312345504761,1,0,0,0,1,0,1
236224,236224,1,"i really enjoyed this one. i dont how i missed it so many years ago. it is a timeless story, well written.",spnp,0.9575970768928528,1,0,0,0,0,0,1
3381601,3381601,-1,"I've enjoyed the Alice 19th series until the end with this last manga installment. I thought it was completely unnecessary to add two extra characters, Mei Lin and Billy, just at the very end. I thought they filled too many pages of this manga with unnecessary filler. Those extra pages could have been used to wrap up Alice and Kyou's finale in much more depth! Frei, my favorite character of the series, lost his sparkle and appeal too. I was also pretty unsatisfied with Mayura's resolution, it was very discrete. I love Watase as an author, I've read most of her series: Fushigi Yugi, Ceres, Absolute Boyfriend. But I found this one's ending to be the most unsatisfactory of them all.",spnnuunpn,-0.9212211966514587,0,1,0,0,0,0,1
2392606,2392606,-1,"Having heard instructors rave over Leonard's writing style at two writers' conferences, I decided that I'd better read a book by this ""master of dialogue"" for my edification. By chance, this one was just being published. I immediately noticed his choppy writing style. By the time I had slogged through 15 pages my head ached. I was so distracted by the choppy sentences and sentence fragments that I couldn't follow the story. Maybe other readers will eat it up, but this kind of writing turned me off. Why he has such a great reputation I'll never know. Sorry, Elmore, you're not my cup of tea. Give me Dan Brown any time.",suunnnnpnu,0.0,0,1,0,0,0,1,1
60996,60996,1,"There is a dead body. Where is her car? Why is she swimming alone? It seems her body is expensively cared for. A young man appears on the scene, weeping. It seems that he had taken her car.The name of the drowned woman is Christine Clay. Inspector Alan Grant of Scotland Yard is called to the scene by a worried constabulary. The young man, Robin Stannaway or Robert Tisdall, the name had been changed to Tisdall to please a relative, stayed with Chris. She had picked him up when hitchhiking, saying that she was alone. The boy clearly has charm. Grant and others determine that it is probable murder.The book suffers from having the most likeable characters mainly off-stage or dead. In other respects, of course, it is wonderful, given that Josephine Tey was one of the best people writing in the genre.",snuuunuuuupnp,0.9786863923072815,1,0,0,0,0,0,1
2719236,2719236,1,I first saw this film at a sold out opening in San Francisco and totally enjoyed it along with an enthusiastic aduience. Though it does not have a big budget it is well made with great non-computer generated gore. Full of real old fashioned blood and guts!! Good humor and a good time.,sppnp,0.968255341053009,1,0,0,0,0,0,1
1660265,1660265,-1,"Besides all the disk write errors I received (and detailed in other reviews here), my DR1F9H gave up the ghost in more than 3 months, but less than 4. Interesting, the labor portion of the warranty only runs 3 months. so, I would have to pay labor cost to fix this piece of junk.Look at all the DR1F9H refurbs being sold on eBay. Avoid at all costs. Spend your hard earned money elsewhere.",snpnnn,-0.5235662460327148,0,1,0,0,0,1,1
1667881,1667881,1,"I just finished the last sentence of this excellent book, and just had to write about how good it is! This book has been on my shelf for some time. I am not sure why it took me so long to read it, but I am really glad that I finally did. The Veterinarians and animals that they care for were wonderful to read about. Even the sad bits (which are inevitable where animals are concerned) were not too bad to read about. McSparren's writing has a way of easing the pain. Honestly I cannot think of anything negative to say about this book. The human interest in this book also holds some interest for all ages. The reader gets involved with the lives of Maggie, her husband, children and friends. This book is unique and will be a tough act to follow. I savored every word, laughed and cried. I highly recommend it to anyone that loves all of God's creatures.",spuppupnpuppp,0.9829859137535095,1,0,0,0,1,0,1
270911,270911,-1,"It's amazing how music like this can be so credited and popular even though sp have a large fan base. While on the topic of there fan base, it is worthy to note that this music cannot appeal to ne one ecxcept ppl who are between 13 to 15 yer old. The lyrics are really plain and even an 8 year old could write such stuff which is inspired by small teenage problems such as bad relationships and controlling parents. To be homest i bleve that sp has a decent sound and could really have done much more with there music if they were able to dig deeper and write good inspired songs. I dont think they wud even know some of the more serious problems that most teenagers go thru. Having heard a good amount of this album on my 15 year old sisters cd player i cant say much that wud make sp seem like a good band in general let alone a good punk rock band.",spnnpnn,-0.5590435862541199,0,1,0,0,0,0,1
369992,369992,-1,"Not since Norah Jones has someone been so overrated, and as the previous commentator said it better than I, mind bogglingly pretentious. And at least Norah Jones was pleasant, in a kind of young sort of sesame street kiddie appeal, and Jones is cute and has a sort of harmonious prettiness. Stone however already seems to have a Joplin sort of mannish hideousness and middle aged spread going for her. To paraphrase Cracker: the world needs another overrated tired white girl pretending to be black and around the block a few times a la Aretha Franklin, like I need a whole in my head!Go away Joss Stone-at least just torture your own country men and women!",snpnn,-0.8739415407180786,0,1,0,0,0,0,1
2926431,2926431,-1,"Simple-minded plot consisting of mismatched over-the-top cliches incoherently scotch-taped together; what seems to be a systematic effort to include enough sexist, racist, and religious stereotypes to offend everyone on Earth and most of their house pets; incredibly cheap, jerky, worse-than-the-worst-of-Saturday-morning animation; and enough graphic violence to give the children who are supposedly the target audience nightmares. This is worse than the Super-8 ""movie"" my friends and I made in 9th grade, and I didn't think it could get worse than that. Just to make it even worse, there is just enough actually striking rotoscope imagery to give the viewer a hint of the potential that was blown in this project. If I were Ralph Bakshi or anyone else associated with this, I would change my name and pretend I'd never heard of it.",snnpn,-0.7863667607307434,0,1,0,0,0,0,1
3550183,3550183,1,"This is a very good wrist brace. The only issue is that the thin neoprene that goes around your thumb can start hurting your hand if you wear it for extended period of athletic activity. But it's very well made, no problems. Mine was not blue, as shown in the picture, it is black, which is good.",spnpp,0.8501058220863342,1,0,0,0,0,0,1
2471450,2471450,1,I love this book! I made two of the recipes...they were extraordinary...delicious and visually stunning. I put Martha Stewart to shame! My guests were amazed. I can't wait to try all of the recipes. The book is much better than I imagined. THe best new cookbook I have tried...in years! Thanks Deborah. When is the next book coming?,sppnpppppu,0.0,1,0,0,0,1,0,1
2774611,2774611,-1,"Maybe I need to practice my grating skills, but whenever I grate anything some ends up in the attached cup, but some ends up on top of the grater and inevitably ends up all over the counter.The grater only allows you to grate horizontally. This feels more comfortable than vertical grating and allows you to grate more quickly.The plastic seems solid and the blades are sharp. The quality is good, but having food end up everywhere is annoying.",snpn,-0.8320492506027222,0,1,0,0,0,0,1
2186763,2186763,-1,"Any resemblance between this music and Cha cha cha is purely fictional. I have been a Cha cha cha dancer my entire life. and find this CD a sham. The artists had the gaul to present this music as cha cha cha. It is obvious that they do not know ballroom, at least, Cha cha cha. I should get my money back.",snpnunn,-0.4798588752746582,0,1,0,0,0,0,1
2482768,2482768,1,"This book was definetly one of the best books I've ever read, and I strongly recommend it. It was so true when Khalid said of Irene, but it applies to every American, she has an inborn, cultural arrogance that makes her blindto other ways of acting,perceiving, thinking about the world.This explains the bumper stickers, Proud to be an American and flags everywhere. Americans don't see the pain they are causing because they are all blind with arrogance. I learned, and laughed and cried from this book! It was hard to put down and I hated to finish reading it, I wanted it to go on but I would like to see Israel end it's occupation of Palestine!",spnnpn,-0.9211249947547913,0,1,0,0,0,0,1
2952613,2952613,-1,"I have Documents to Go installed on my Visor handheld. It works OK except for a major problem that you should be aware of. Maybe it is only me, but a number of times I have worked hours on a document and stored it. Then when I hotsych to my computer, the file is lost and does not show up on my PC either. I only get an indicator on my Visor saying that the file contents are not there. Imagine the frustration and wasted time. I am a proficient computer user. I write macros, manage a website, and am starting to learn PHP, but I haven't been able to resolve this problem. Perhaps there is a way around the problem but unless you are prepared to sink a lot of time figuring it out, be forewarned of this.",suuunnnpnn,-0.7257083058357239,0,1,0,0,0,1,1
3175547,3175547,-1,"This clip is absolute trash. It sounds be, very durable for construction work because it's RUBBERIZED. What a joke that is. Within the first day of work the belt clip part broke. It just fell apart. I guess u get what u pay for.",snpnnnu,0.0,0,1,0,0,0,1,1
2549551,2549551,1,"I admit I have a makeup obsession, eyeshadow and lipstick in every shade, eyelashes, all of it. I tried this little gem after seeing reviews on it. Love that I am using less of my foundation, saving me $$. It gives a air brushed look to my face. It can be a little tricky at first so definately watch the tutorial video on their web site, huge help. Also don't use it for the first time before work or if your in a time crunch, once you get rhythm down your fine. My only problem with it is it leaves little specks of foam on my face. Easily wiped of with the hand but annoying and the reason for the 4 stars. Still not annoying enough that I stop using it daily. Two tips: squeezing out less water makes it great for a sheer summer coverage. I use j&j baby wash to clean my makeup sponge and brushes. Works great, gentle and less $$$ than the brand cleanser.",spppnpunnnpup,0.937381386756897,1,0,0,0,1,1,1
1201488,1201488,1,"I love when I can one-click an item and it shows up quickly on my doorstep ! this is exactly what happened. Great book, in great condition.THANK YOU !!!!!!!!!!!!!",spnppp,0.689428985118866,1,0,0,0,1,0,1
2566385,2566385,1,"Well, all I wanted to say about this record is that it's really good. It's an emotional, powerful, energetic masterpiece. I'm sad at the fact that this band is no longer together. They sound great live, and on that note, if anyone was wondering, the unlisted tracks are live and I will list them for anyone that is interested.18. the poet you never were (live)19. ariadne's friend (live)20. notres langues nous trompent (live)21. the sweetness and the light (live)22. endymion (live)well, that is that.adios-brian",sppnpu,0.0,1,0,0,0,0,0,1
20646,20646,1,"I bought this CD because I read on this web page that this was the best selling CD and there was a lot of good reviews. I have never bought or really heard Moby before but I have read some interesting stuff about him. Right away I recognized a couple of songs. I noticed when browsing for some new techno that many people who bought the CDs I did, also bought this one. My friend told me ""its kinda slow at first so give it a listen to"". Personally I like the first few songs the best. They are worth the price of the CD. I think the end gets a little slow. Good sound on this recording - excellent production from beginning to end! Good music to get the ladys dancing. Good music to chill with your woman (like smoke some hoochy and get your groove on, ya know what I'm sayin?) then after y'all have been at it for a while, the end kinda mellows out as you smoke your last cigarette and go to sleep. I want to buy some more Moby!",sppuuuppnpppup,0.7592889070510864,1,0,0,0,1,0,1
1502105,1502105,-1,"It makes me laugh when Hollywood choses to include the Bible in their movies when ther clearly haven't read it. Jesus conquered death! End of story. Those who choose to follow Him in spirit and truth will leave this cursed world and spend eternity in Paradise. No more sadness, pain, destruction, etc. Choose Jesus, Choose life! I love Hugh Jackman but I couldn't sit though this movie.",snpupnpp,0.6458619236946106,1,0,0,0,0,0,1
616536,616536,-1,"Rent this movie. Don't pay the 9 or 10 dollars it's going to cost you to get in (unless you're old like me which would mean 'only' a 6 or 7 dollar admission). It'll keep you interested for about the first 45 minutes. After that I become distracted by the endless closeups (full-face, profile, eyes only, mouth only, top of head, hands) and pained expressions which substituted for meaningful dialogue. Frankly, my mind began to wander..wondering why Redford didn't stay out of the sun in his youth, why Dafoe's skin is beginning to look like linoleum, why there was only that one shot of the dog, why Helen Mirren would sign on for such tripe. I'm giving it 2 stars for the actor playing the detective. He was good. His assistant had one line. I'm always curious about such shenanigans.",sunpnnppuu,0.0,0,1,0,0,0,0,1
