,Unnamed: 0,sentiment,review,emopattern,emoscore
1058316,1058316,1,"I'm not a big fan of Mike Francis, but two songs in particular remind me of smash hits in the Philippines, back in the 80's: Friends (with Disco Diva Amii Stewart doing jazzy vocals), and Let Me In. This compilation is just excellent, and contains four original remix versions, including the two hits I mentioned earlier at 6:23 and 7:27 respectively. I bought four of these albums to give to friends. Am I glad I discovered it. If you're familar with Mike Francis, you must have this CD. If you're not, it will be worth every buck you spend if you're into pop crossover-type music.",snppppp,0.52070165
1377784,1377784,1,This is truly a life saver. No boiling of water. Simply wash bottles and place in sterilizer. Set in microwave for 4 minutes [pending on microwave watts]. That is it ready for breast milk or formula. You can use any bottles not just avent. We use Dr. Browns 8 oz bottles and fit 3 bottles no problem. This sterilizer and bottle warmer are a must.,sppppnppp,0.7441841
1993587,1993587,1,"An all cover album. It's been done many times before. Naysayers will have you believe that the newest offering from Styx is relatively poor...which simply isn't true. Think about it; Styx has all the tools to make a fantastic cover album - vocals that range from brash to beautiful falsettos, superb lead guitar, theatrical leanings that can accommodate any setting, and above all - experience. Styx shines like they haven't in the past 8 years with the release of ""Big Bang Theory"". Standouts include the Beatles' ""I Am the Walrus"", The Who's ""I Can See for Miles"", Blind Faith's gorgeous ""Can't Find My Way Home"", the hard rocking of Powerglide's ""I Don't Need No Doctor"", Lovin' Spoonful's ""Summer in the City"" and my personal favorite, Jimi Hendrix's ""Manic Depression"". Overall, Styx fans should find this to be a fun a playful ride.",spnnpppp,0.95547324
509894,509894,-1,"I'm a superman fan and I bought this keychain thinking it was a reasonably sized chique silver-ish Superman 3D keychain... Turns out it is really huge, making it harder to fit the keys into my pants... Also, it's not anywhere as shiny as it is in the photo. Finally, the silver shade is a lot darker and dimmer than the one the image suggests.",spnn,0.1903307
2964788,2964788,1,"It's a really good book, and it was in perfect condition when I got it.I could not put this book down, it has everything that makes a good book. It has intrigue, romance, suspense, and it is written so you can picture what is happening.It is a very sexual book, some parts may even make you blush! hahaahah",sppp,0.622452
1601078,1601078,1,"OH SH*T THIS CD IS F##KING HEAVY. I BOUGHT THIS BEFORE THE LAST DAY 8TH GRADE. I LIKE TO BE HONEST I BELIVE IN GOD (BUT I'M NOT VERY RELIGIOUS) I KNOW MENTIONEDING THIS IS QUESTIONABLE BUT THATS WHAT I BELIVE IN. BUT IT DOSEN'T STOP ME FROM LISTEING TO STUFF LIKE THIS BECAUSE I LOVE THIS CD. ITS ONE OF MY FAVORITE CDS OF ALL TIME. FROM THE BLISTERING OPENING ""SCARS OF THE CRUCIFIX"" TO MY FAVOIRITE SONG ON THIS CD ""WHEN HEAVEN BURNS"". GLENNS VOCS IS DEMONIC AND I LOVE IT. THE BEST THING ABOUT THIS ALBUM IS THE SOLOS THEY ARE F**CKING AMAZING. I LOVE THIS CD AND YOU WILL TO NO MATTER WHAT YOU BELIVE IN.PICK THIS AND SERPHENTS OF THE LIGHT UP. ITS WORTH IT.",snnpppppppp,0.8664522
398210,398210,-1,It's not strong enough. I bought two of those but I hanged only one because the other one could not carry the weight of the bike. It's pretty crap to be very honest.,snnn,0.9255101
1046737,1046737,-1,"I purchased my Zen player with high hopes that were ultimately crushed by their technical support. I am a pretty savvy, techno-geek but I met my match with the mp-3 player from Creative. After experiencing set up problems, I contacted their tech. support. I spoke to a friendly girl who seemed to be dazed by even the smallest technical problem which she was obviously enslaved to answer. I asked to talk to a supervisor. When I was told I would be contacted in 24 hours by a supervisor to clear the problem, I returned the product. I never heard back from the girl's supervisor, nor was the problem ever resolved.",snpnpnpnn,0.87948364
536765,536765,1,"Great book for the computer user who cares about how stuff looks. If you spend more time playing with fonts, margins, alignment and image placement than the text itself, this book is for you. I found that it really made a difference in how I layout even simple things in MS Word. Get it.",spppp,0.25462455
1148592,1148592,-1,"The people at datel have been very mixed with the uses of the action Replay for each of their systems. They've had ones with great codes like the Gamecube and Playstation 2, and there are ones that haven't delivered with the promise of great games. That can definitely be declared as a dissapointment with the PSP edition. This one you can go to the codejunkies.com website, and download saves that make it too easy to beat the game, rather than codes that just enhance and deliver the excitement on the game. That is the sad part. Other than it doubling as a memory card, it doesn't actually work as something that makes it fun to play games like Daxter, or Lumines. Although I would normally suggest this as a must buy, this one doesn't hit the mark at all.Price: DConvience: D 1/2+Overall: D",snnnpnnn,0.6857334
140547,140547,1,"People who like John Buchan's work will enjoy this adventure. John McNab has the suspense of the Hannay series but with the lightheatedness of an adventure. Three friends meet in the highlands of Scotland and set themselves each a challenge to poach trophy wildlife from the laird. They advise the laird what they will poach and when, in letters signed ""John McNab"". The laird takes up the challenge to catch the ficticious John McNab before he can carry out the warned of task.",spppnn,0.123207115
2538848,2538848,1,"This organizer folds flat for packing and the first time we used it was for a beach vacation. Great for sticky, sandy sunscreen and shells. You can rinse off everything in place and hang out to dry with the towels. We have 2, so one was in the bathroom holding toothbrushes, etc. We originally bought for camping and kids' camps, and we'll be trying it out for that in a couple of weeks. I have a feeling it will meet all goals - will fit a toothbrush/toothpaste, a myriad of travel-sized bottles and a washcloth. Dries quickly. I like the divided compartments.This might be good to use as a dorm shower caddy if there is a protected place to hang while drying. To give a rough idea of size, I fit 5-6 regular-sized shampoo bottles in this with a little bit of extra room to slide toothpaste, toothbrush, and some little extras.",sppppppppp,0.13719702
3231973,3231973,1,"Very strudy construction, very sharp blades. Easy apart to clean. Finger holes a little tight for big hands. Excellent value.",snpnp,0.91486675
1214205,1214205,-1,"RESTLESS has it's strong points, but not enough to make up for the tracks with weak rhymes and even weaker beats. Xzibit is a tight MC, but this is not his best work.",snn,0.8412095
484518,484518,1,"First used this as a GE product. It seems to show up also as Walgreens. Don't know how many others. It's simple, lasts quite a while and I hope it filters out everything they say it does. The mechanical construction is a little iffy but they're cheap enough to just replace the unit.",sppnpp,0.15331745
3506146,3506146,1,"Hour long toddler flypaper featuring four effeminate Aussies, modern dance routines tacked to folk music, a manic pirate with a feather for a sword, and an odd melange of life size talking dogs, octopi, and dinosaurs who grow roses. In other words, your kid will love it.",spp,0.9672647
1659353,1659353,-1,"This is probably the most boring book I have ever read. If you want a book that is a bunch of random facts about people other than Hypatia, buy this book. Soooooo boring. Ahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh",snnnp,0.5426787
1204470,1204470,1,"Only one word comes to mind when reviewing this movie ""PERFECT"".Charlie Chaplin at his very best. This film was Orson Welles favorite and this is one guy who knew movies.It also ranked number 1 in the list of romantic comedies.",spp,0.9518474
111987,111987,-1,"There are too many problems with this OS to count. Not to mention the other Microsoft programs that come with it, like WinDVD and Win Media player, which both stopped functioning 6 months after I bought my pc. There are problems with restarts and shut downs, as well as the occasional freeze-up. Although there are some handy new features, they definitely don't outweigh the many and frequently occuring problems. Microsoft, like usual, fails miserably. Go buy a Mac.",snnnnnn,0.2185523
3276955,3276955,-1,"This player worked great initially. However, now my warranty is out and it has the H07 error. The labor and down time is not worth it to fix it, so into the trash it goes. What a waste! Don't buy this. Put my name on a class action, please!",spnnnnn,0.24852641
2966529,2966529,1,"even though this game is nearly unplayable today (I don't have that kind of patience anymore), this game is the one that started it all....before Final Fantasy.... was Dragon Quest!!you should still finish this game before you die.... this is an experience, and a journey....have at it!Bravo Enix!! (now Square Enix)5 stars!",sppp,0.8241337
3146577,3146577,-1,"to put it plainly the software isnt ready for windows it is INCOMPATBLE if you dont beileve me go to the apple website and look at the discussion board for the windows ipod, there are hundreds of complaints about the itunes software not reading the ipod or even a the cdrom drive. It turns out if you have an anti virus program itunes will not work. if you cd rom is sony or samsung to name a few itunes will not read it makin it impossible to load music on your ipod. After spending about 20 hours despreatly trying to manipulate itunes to play a cd customer service just told me to take it back. so tommorow its going back and im going to check the dell dj",snnnnp,0.037025847
521450,521450,1,"Picked this up for my son, a Beatles fan and former NYC resident familiar with some of Lennon's old haunts. He reports it's an intersting and compelling read that includes Lennon's thoughts on many of his compositions as well as the expected bio and socio-political perspectives. A first edition, upon receipt the book was a bit more toward the ""Good"" than ""Very Good"" side in terms of condition. Nevertheless, it's hard to find and, like most of the Playboy interviews, is insightful and educational.",spppp,0.75558674
2514505,2514505,1,"Juan Diego Flores is widely touted as ""the Next Pavarotti"". In fact, he is in a class all by himself. His Rossini CD is the best CD released in this new century. This recital is number 2. No one sings Rossini like Juan Diego Flores, only Rockwell Blake comes close. In the new CD, he proves to be the equal of the young Pavarotti in Donizetti and his better in Bellini. If you love these early composers, if you treasure true bel canto singing, if you like breath-defying coloratura, buy this CD now. He is truly a tenor for the ages.",spnpppppp,0.84268945
720000,720000,1,Warm they are. Looks pretty durable but the sleeve is too tight for wearing gloves and they don't give any room for clutch or brake bars on motorcycles. Needless to say I was trying to put these on something they were not designed for so stick with the ATV market with these but for the price it was a small gamble.,spnn,0.3248563
1450613,1450613,1,These work really well - the quality is great. Just pop them in the dishwasher every so often to keep them sparkling.,spp,0.38445413
2278539,2278539,-1,"Got the condensation lock error and that was it. Was prepared to clean off the sensor, but the tape door wouldn't open no matter what. Tried for a few days but found I was just getting madder and madder. Went out, found a rock, and smashed the hell out of this frustrating piece of crap! That made me feel better.",snnnnp,0.89653194
2660705,2660705,1,"I received this book prior to shipment date. It arrived in excellent condition without any markings/tears on any pages. It has its cover and the cover looks new. This book is one of the author's best. It is informative and organized. It even includes a map of the flea markets in California just in case you were serious about hunting the fleas for treasures, which I would like to do. I would recommend this book.",sppppppp,0.9701338
1676815,1676815,1,"This is an excellent book, and leaves it clear that Montgomery was not a great and able strategist. The whole controversy over the Falaise Gap is an intriguing one, and tho I have read much on D-Day and its aftermath I did not have a good view of the events of the summer of 1944 until I read this excellent book",snp,0.7115912
507966,507966,1,"Kiln People is what SF is all about. It's hard to describe in a few words, but it's a quasi-existential transparency-pushing SF noir crime thriller with a quantum Buddhist (my interpretation) take on the question of the human soul (quantum theology? transquantum theology?). Sounds like gibberish the way I've written it, but this is a great page-turner that will make you think hard about the cliched separations our culutre erects between issues of science and faith. David Brin doesn't like being told there's a field of knowledge inaccessible to scientific inquiry, and in addition to being a terrific SF thriller, Kiln People reads like a systematic proof of why science should never back off just because some theologians try to draw a line in the sand. The book also riffs on themes of social transparency raised in his book The Transparent Society. Read Kiln People, but read that next.",sppppnpp,0.11599037
1842210,1842210,1,Este es un excelente juego de mechas para perforadores de banco con mandril de 13 MM. Recuerde siempre que mientras la mecha es mas grande la velocidad de rotación del mandril debe ser menos. Este juego de mechas vienen en una practica caja de madera bien terminada. Recomendado..,spppp,0.25715908
1178154,1178154,1,"I have seven reachers of three basic designs. Like the others with hard plastic or metal jaws, this one cannot pick up a slip of paper without crumpling it. Hence four stars, not five.The trigger is a smooth ""("" curve not a ""G"" hook by which it could be hung for storage, another reason for four stars, not five. My reacher in the bathroom has a ""G"" trigger and hangs on the towel bar. All of these reachers have a hole in the handle by which they can be hung on a small peg.The post, which I use and abuse a lot, is secure and likely to remain so, unlike some others.It is the best fabricated of all; the serrated plastic jaws mesh nicely. And I can pick up a bottle of water by the neck with confidence.",spnnnpp,0.7764573
2383515,2383515,1,"I read this book several years ago and still remember it today. This book is very well worth the read and I even recommended it to a friend while we were on a trip. The following morning his wife called me to report that she did not sleep much the previous night because he was reading more than half the night. That day he stayed in their room and when he did emerge his comment was 'I can't put it down'. This book may be more for the guys but with that said, I still enjoyed the read. RIP 'Stormin' Norman'!",sppnppp,0.2311564
1646607,1646607,1,"I showed this to my small children, older nieces, sister, mother, friends, and grandmother. It appealed to all of them. I bought the deluxe book of flower fairies, the complete flower fairy book and the paper doll book. I needed them for art reference books.The difference in the first two is:The deluxe book has a history of the author, her sketches and inspirations, timeline, her prosesses, lots of botanical notes. very collectiors edition, silver leaf and all.The complete book has fairy's has a 1 page intro of the author then goes straight into images and poems. each has the seasons collections, but the complete has; in addition, the fairies of the garden, trees, wayside and a flower fairy alphabet.",spppppp,0.14702772
1974335,1974335,-1,"the package shows for ""powerful"" chewers. Well my 20 lb 1 yr old corgi chews these things right up. They get chewed up so much and so fast that they end up with sharp edges and sometimes i find blood on it from my dog's gums....and this is only after 1 week or so.If you have a 'powerful' chewer, go for Deer Antlers. They last SO SO SO long and my corgi loves them. I guess nothing beats mother nature.",spnnpn,0.31286955
451859,451859,1,As a southern girl I love all movies made about the South but this is supposed to be New Orleans and everybody sounds like they are from New Jersey. Marlon Brando doesn't even attempt an accent. Which annoyed me!Vivian's performance is very convincing and you will want to slap her throughout the movie for being such a weakling. At the time she was mentally ill which probably adds to her performance . Her husband thought playing Blanche onstage for 8 months would help her illness..... I know it's funny.,snnnnnp,0.69236225
3212867,3212867,-1,"This proves that director's-cinema is as bad as actor's-theater.Actor's theater is when you have no director but the actors just ad-lib around the stage. Director's cinema is when the story is incomplete lacking a flow-of-complexity so the director looks for angles-&-emphasis to try to make ""something"" happen.What made the TV show ""Twilight Zone"" so great was the complete short stories played out in 20 minutes. What makes this poor are the single or double idea stories without a sense of finish and completeness except maybe at the most childish intellectual level.",snpn,0.86622
1757913,1757913,1,"You cannot beat the price of this thing. It is pretty easy to program as long as you don't like to customize things too much. It works with pretty much device you can think of, and lights up when it senses movement so you can see it in the dark and you don't have to fumble for the ""Backlight"" button. It's very thin and attractive, and suprisingly has withstandad countless spills by various liquids, and even two hot wax spills, yet it still looks great and works fine after cleaning it off.",snppp,0.88325876
2773147,2773147,1,"Reading this book made me feel like I was there suffering with the Goldmans. The Goldmans did a great job protraying what it's like to lose someone thru a tragedy, the trials and triumphs they went thru to get justice, and who Ron was. I've found myself crying several times while reading this book. I commend them for their bravery and perserverance.",snpnp,0.9326263
1865332,1865332,1,"If you don't buy this, you're a retard. If you buy this you'll become a retard.This is a great claculator that can do just about anything. It is highly programmable. You will, however, become lazy if you use it.",snnpn,0.57059586
1652262,1652262,1,"Even though I was told it had a dent in the spine, it was so small and at the bottom of it that I had to look very close to the book spine to see it. It was in better condition. It also showed up at the given dates.",snpp,0.07087328
1607182,1607182,1,"This book first came out thirty years ago and twenty years ago was when I first read it. Though three decades have passed, the book is still as relevant and compelling as it was then. It's a book that you won't be able to put down and one you will never forget. I give it a very high recommendation!",spppp,0.9799977
1642777,1642777,-1,"I bought this collection from a company called Digitaleyes.net off this site as a birthday present to a friend. Problem is half of the disc's do not play (ie) ""No Disc inserted"" error message on my Sony DVD player.I'm still waiting for a response back from the Digitaleyes.net about this. I would not recommend using Digitaleyes.net to order through.",spnn,0.75155884
79227,79227,-1,"I'm not even sure how long this movie dragged on, it seemed at least 2 1/2 hours.. 95% of this movie is filmed with some wierd filter or effect that tints everything red and underexposes anything white, which drove me nuts. The plot is just terrible, and the acting even worse. Sarah Michelle Gellar and Joey Lauren Adams are the only decent thing about this movie, and even their quality acting is degraded by this script. The LSD scenes are a beginners tutorial in kai's power goo, and the overall message of the film is on par with the just-say-no campaign. I like to rent B movies and see what young and unseen directors and actors can do, but seriously.. this is a pile of crap, save your money.",snnnpn,0.72624105
744170,744170,-1,"I agree with Ms. Hurdle that the books are not up to the Austen standard in terms of irony. The bigger problem I have, though, is the character of Jane Austen. It does not convey a tenth of her biting humor or intelligence. But still, the books are fun to read as purely period pieces and for recognizing the characters from Austen's real life and fiction pop up in them.",snnnp,0.86518204
1623350,1623350,-1,"I don't really have anything to review, as I ordered this hair setter twice, and both times was sent the wrong thing. I finally gave up.",snn,0.6650331
359595,359595,1,I bought this last month and tried it out during the memorial day long weekend for long drive to washington DC ... wow it works amazing ..it saved me 4 tickets in just single trip .... I feel its a cheaper and good product ...,spp,0.8536801
1038847,1038847,-1,"I had the EXACT same problem. I've been troubleshooting it for days now by doing the following:- Deleting/Reinstalling the Update for my system- Buying a brand-new OFFICIAL Sony PS2 memory card- Trying other PS2's- Buying a GameSharkAll attempts end in the same result: System locks up and you have to restart the machine (including the GameShark, interestingly enough), which makes me think that some how the code update is corrupt or it corrupts memory cards. The code list never loads after installing the newest update. If you delete the update, the list loads fine, but you don't have any of the newer PS2 games.I've pretty much given up at this point (I just tried the new memory card this morning). The only option left is to re-download the system update and delete it every time I want to play a game that isn't in the list or input the codes manually, which I'd prefer not to do, but I may have to in order to get this thing up and running again. Most frustrating!",snnnnnn,0.88574106
735491,735491,1,I'm not going to summarize the book here. . . but I want to tell you that the conversation between the protagonist John and the character of Reason (presented as a warrior woman) is worth the reading of the entire book.,snppp,0.83611107
43378,43378,1,Worked great out of the box - - very accurate from what I can determine - I'm certainly happy with the product and the seller.,sp,0.9868722
2959082,2959082,1,i was happy because it held all of her barbies including the clothes that always get lost. great purchase tokeep things organized,spp,0.96554047
2857519,2857519,-1,"Ordered two athletic supporters. Both fell apart after the first laundering. Straps came apart from the waist. Would NOT recommend buying this product. Very dissatisfied. No response from manufacturer, despite repeated requests. Bad product. Poor response from maker.",spnpnnnnn,0.9143476
2167418,2167418,-1,"i bought this cd based on a recommendation in which the band was compared to stereolab (for its kitschy 60s pop). i'm a huge stereolab fan, and it's really a stretch to compare the two bands. when i put this cd on, i kept fast-forwarding through the songs, hoping to find a good one, and waiting to hear the stereolab influence. i never found either. instead, i heard tolerable pop music (sort of wimpy) and a lead vocalist's voice that was worse than hearing fingernails on a chalkboard. ugh. time to trade this baby in.",spppnnnn,0.660536
1294491,1294491,1,"This is a great book if you want to learn more about the Spanish culture, linguistics, communication and so on. It's an easy read and it's guaranteed that you'll learn a lot.",spp,0.9711879
3006260,3006260,-1,"One cannot believe much in a book with an incorrect title. Marie Antoinette was not the last queen of France. That distinction was held by the wife of Louis-Philippe, Marie-Amelie 1782-1866, queen of France 1830-1848. Try instead the biography by Antonia Fraser being published in the US in Sept. 2001.",snnpp,0.0428626
1248407,1248407,-1,"There's not much this film can offer, unless its some cool-looking British sedans and OK to decent character actors. Quyale is utterly wasted. Jayne is, well, Jayne, and the plot is pretty weak. As far as the picture & sound quality, let's not even go there....",snnnn,0.82189476
3056603,3056603,1,Don't listen to the review by Debbi. You shouldn't be allowed in the kitchen if you are dumb enough to try and broil food in anything but a broiler pan. She's a tool. This set is really a good deal and has all the useful stuff you'll need for a new place.,snnnp,0.97807527
204085,204085,-1,Do not waste your time reading this book. You can find this kind of information on the internet !,snp,0.22523223
3268420,3268420,-1,"We played for the first time last night. While it was fun we had 2 issues. First, not sure they have all the facts correct. But that's ok as it led to some discussions and we just moved on. But on the Rush Hour questions every card had Crap as the answer for every question. We looked thru them all and everyone was that way. That made using them useless. So while it could be fun, we'd have to give the game a thumbs down and put it in the back of the shelf.",spnnpnnnn,0.5060578
2782831,2782831,-1,CD won't play on a couple of tracks. I have emailed Amazon over a week ago and as yet have not had a response,snn,0.6114884
838686,838686,-1,"Thanks to the reviews, I figured out how this seat was used.However, I doesn't look too safe. Where is the seat belt?",snn,0.24848011
2436493,2436493,1,This moderately priced antenna works great! It is easy to assemble and pulls in all the stations that are available to me in our Minneapolis area. Tried a couple of cheaper ones from local stores but returned them. Am very happy with this one and highly recommend it.,spppp,0.9901073
3001555,3001555,-1,"There was nothing wrong with the way amazon shipped it to me or condition, it was the book that was totally missing the V and W words, well on a positive note V and W aren't as important as A and B.",sn,0.44795638
1328549,1328549,1,I like this book because it took you back in time to a different country and time.It tells about how her life was hard and she went thougth so many different mothers and it was hard for her.So it a realt good book I liked it.!!,spp,0.689429
392753,392753,1,"I hated Clash of the Titans, it was a dead fish to me, and the Zeus scenes had more weight to them than anything starring the non-charismatic hero. This film addresses a lot of those problems, trims the fat off while maintaining something for the humans to fight for (sons) and limits the bad stuff enough to be entertaining throughout. The star though is the outstanding CG, which I think owes more than a little bit to the God of War cutscenes that came before it. Another smart move was giving Worthington's Perseus character help in the form of better comic relief, which reduces the amount of straining he has to do to show warmth to the audience.I thought it would be bad but this will probably end up as one of the more rewatchable blu-rays in my collection.",snppp,0.73281366
2888671,2888671,1,"I must say this Laptop is very sturdy easy to upgrade very fast, a nice replacement for a desktop,finger print sensor fine.one thing though speakers are very weak, the company should really improve the speaker, and if possible recall those speakers and replace them, i'll welcome that.Apart for that it is a good laptop",sp,0.9157561
605950,605950,-1,"I seriously can't believe people are still so obsessed with these two movies. All they are is a complete savagefest of unnecessary blood and fighting moves. This movie is just as gory(in an unnecessary amount) as the recent release Land of the Dead, the only difference is there are swords (in 2003 and 2004) and there is some kind of strange exagerated martial arts... Overall it's simple to say Quentin Tarantino himself is overrated as a director as well (I didn't say actor because I don't think anyone has ever confused him as a good one in that catagory), and his truly only good movie was Pulp Fiction. This movie as well as the first one were disapointing especially after all the hype i heard about both of them. There's $6.50 and 2 hours of my life I'll never get back.",snnnnnn,0.7812041
2433610,2433610,-1,"I've never had this problem through Amazon before.. Apparently this DVD was meant to play in a completely different region than the one I am in. Needless to say, it doesn't work in my DVD player. I don't understand why a DVD shipped out of the US would not be able to be played in the US. Just seems a little too ""tricky"" to me.",snnnnn,0.78884906
2045372,2045372,1,If you like to watch with your kids then this is a sure fire hit. Story is entertaining and the actors are great. Plus to see Debbie Reynolds in this type of role is interesting too.The whole series is a keeper.,sppp,0.9693831
